restaurantid,restaurantName,phonenumber,address,distance,restauranttype
411243,1919,(795) 605-6859,"1919 FLEET ST Baltimore, MD",3.14,Fast Food
717866,SAUTE,(629) 828-3610,"2844 HUDSON ST Baltimore, MD",0.49,Family Style
311287,#1 CHINESE KITCHEN,(597) 940-1831,"3998 ROLAND AVE Baltimore, MD",3.38,Family Style
179347,#1 chinese restaurant,(215) 215-0960,"2481 frederick ave Baltimore, MD",1.61,Fine Dining
621147,19TH HOLE,(325) 992-0373,"2722 HARFORD RD Baltimore, MD",2.68,Fast Food
300396,3 KINGS,(725) 731-1516,"2510 MCELDERRY ST Baltimore, MD",3.48,Family Style
678333,"3 MILES HOUSE, INC.",(601) 377-0888,"2701 MILES AVE Baltimore, MD",2.97,Fine Dining
337007,3 W'S TAVERN,(382) 837-6466,"2518 MONUMENT ST Baltimore, MD",3.48,Fast Casual
667063,300 SOUTH ANN STREET,(724) 212-0225,"300 ANN ST Baltimore, MD",0.58,Fine Dining
957825,438 CLUB,(890) 481-6908,"1600 HAZEL ST Baltimore, MD",2.15,Fast Casual
878802,5-MILE HOUSE,(286) 842-1069,"5302 REISTERSTOWN RD Baltimore, MD",0.36,Fast Casual
884710,"743 S. MONTFORD,INC.",(459) 909-8076,"743 MONTFORD ST Baltimore, MD",3.58,Fine Dining
177685,A & W RESTAURANT,(676) 583-5917,"5625 O DONNELL ST Baltimore, MD",2.87,Fast Casual
464712,A TASTE OF CHINA,(847) 498-6423,"219 BALTIMORE ST Baltimore, MD",2.39,Fast Food
575868,ABACROMBIE FINE FOODS,(702) 506-6930,"58 BIDDLE STREET Baltimore, MD",1.76,Fast Casual
103559,ABC SUSHI,(891) 474-0635,"2003 MONUMENT ST Baltimore, MD",3.84,Fine Dining
328917,ACROPOLIS RESTAURANT,(929) 610-2067,"4718 EASTERN AVE Baltimore, MD",3.97,Fast Food
193013,ADMIRAL FELL INN,(524) 909-1094,"818 BROADWAY Baltimore, MD",0.9,Fast Food
697615,AG & HARP'S,(857) 331-1121,"2522 WASHINGTON BLVD Baltimore, MD",0.72,Family Style
635814,"AIRPORT BAR & GRILL, INC.",(679) 693-1905,"6500 RIVERVIEW AVE Baltimore, MD",2.47,Family Style
455631,AKBAR RESTAURANT,(563) 763-9498,"823 CHARLES ST Baltimore, MD",3.45,Cafe or Bistro
807307,"AKDEY SUBWAY, INC.",(386) 565-2586,"2407 FREDERICK AVE Baltimore, MD",1.25,Fine Dining
362858,ALDO'S RESTAURANT,(308) 996-3510,"306 HIGH ST Baltimore, MD",0.14,Fast Food
175142,ALE MARY'S,(711) 295-3190,"1939 FLEET ST Baltimore, MD",1.47,Fine Dining
802375,ALEXANDER'S TAVERN,(515) 527-1037,"710 BROADWAY Baltimore, MD",2.6,Family Style
501755,ALFEO'S,(908) 928-4119,"2401 LIBERTY HEIGHTS AVE Baltimore, MD",3.1,Cafe or Bistro
321384,AL-HO CLUB,(835) 506-8752,"2105 FREDERICK AVE Baltimore, MD",1.1,Cafe or Bistro
752153,BAY ATLANTIC CLUB,(790) 503-8437,"206 REDWOOD ST Baltimore, MD",1.64,Fine Dining
473763,BAY CAFE,(914) 417-3884,"2809 BOSTON ST Baltimore, MD",3.96,Fast Food
687487,BEACH BUMS CAF,(903) 765-7044,"1038 LIGHT ST Baltimore, MD",1,Fast Casual
459053,BECKER'S TAVERN,(751) 482-9189,"3820 PRATT ST Baltimore, MD",3.81,Fine Dining
972211,BEDROCK,(314) 556-5570,"401 BALTIMORE ST Baltimore, MD",3.87,Cafe or Bistro
631644,BEDROCK (KITCHEN AREA),(605) 530-9856,"401 BALTIMORE ST Baltimore, MD",3.22,Fine Dining
417992,BELAIR PUB,(665) 205-6900,"5860 BELAIR RD Baltimore, MD",3.1,Fast Casual
999596,BELT STREET PUB,(722) 956-8059,"1747 BELT ST Baltimore, MD",2.55,Fast Food
446245,BELVEDERE TOWERS CAF,(969) 663-9505,"1190 NORTHERN PKWY Baltimore, MD",2.48,Fine Dining
681845,"BERGER'S TAVERN, INCORPORATED",(265) 302-2778,"5523 BELAIR RD Baltimore, MD",1.16,Cafe or Bistro
629924,BERMUDA BAR,(494) 457-9045,"1801 NORTH AVE Baltimore, MD",2.32,Fast Food
599565,BERTHA'S RESTAURANT,(959) 926-4533,"734 BROADWAY Baltimore, MD",0.77,Fast Food
418031,BERT'S EATS & DRINKS (3103-05),(655) 810-9537,"3105 ST PAUL ST Baltimore, MD",0.57,Fast Food
231530,BEST WESTERN TRAVEL PLAZA,(320) 422-6550,"5625 O DONNELL ST Baltimore, MD",1.41,Fast Food
439521,BIG APPLE TREE CAF,(310) 457-2552,"300 BALTIMORE ST Baltimore, MD",3.94,Fast Food
864862,BIG BAD WOLF'S HOUSE OF BARBEQUE,(963) 719-7771,"5713 HARFORD RD Baltimore, MD",0.31,Fast Food
426729,BIG KAHUNA CANTINA,(717) 469-0771,"301 LIGHT ST Baltimore, MD",2.68,Fast Food
345715,BIG TEE'S BAR & GRILL,(675) 436-4970,"300 OLDHAM ST Baltimore, MD",0.48,Fast Casual
467010,BILL'S 60'S & 70'S CLUB,(682) 947-6148,"1000 LOMBARD ST Baltimore, MD",3.63,Fast Casual
490715,BILL'S CAFE,(253) 483-9505,"6701 HOLABIRD AVE Baltimore, MD",3.78,Cafe or Bistro
938489,BILL'S LIGHTHOUSE INN,(938) 315-5804,"1741 LIGHT ST Baltimore, MD",1.18,Fast Food
321168,BILTMORE SUITES HOTEL,(433) 502-6257,"205 MADISON ST Baltimore, MD",0.12,Fast Casual
290156,BIRCHES RESTAURANT,(999) 755-1993,"641 MONTFORD AVE Baltimore, MD",2.19,Fast Food
204493,BIRDS OF A FEATHER,(579) 355-1279,"1712 ALICEANNA ST Baltimore, MD",1.89,Fast Casual
771825,"BLACKTIE SERVICE, LLP",(763) 520-8507,"4700 MT HOPE DR Baltimore, MD",2.84,Family Style
605422,BLACKTIE SERVICES,(259) 277-8663,"3725 MALDEN AVE Baltimore, MD",3.86,Fast Casual
911761,BLARNEY STONE INN,(999) 633-6637,"3915 HANOVER ST Baltimore, MD",2.83,Fast Food
602594,BLARNEY STONE PUB,(247) 441-3794,"704 BROADWAY Baltimore, MD",2.12,Fast Food
954595,BLEACHERS,(589) 357-5707,"2501 FLEET ST Baltimore, MD",0.51,Fast Food
976390,ALLEN RESTAURANT,(712) 851-9219,"5621 BELAIR RD Baltimore, MD",1.77,Fine Dining
413245,ALOHA TOKYO,(519) 681-6997,"1120 FORT AVE Baltimore, MD",1.8,Family Style
778246,ALONSO'S RESTAURANT & COCKTAIL LOUNGE,(605) 603-4918,"415 COLD SPRING LN Baltimore, MD",3.37,Family Style
801426,AMBASSADOR DINNING ROOM,(620) 985-8885,"3811 CANTERBURY RD Baltimore, MD",3.95,Cafe or Bistro
172423,AMBROSIA'S,(893) 552-1789,"1810 CHERRY HILL RD Baltimore, MD",2.93,Fast Food
434043,AMERICAN FOOD SERVICE,(945) 322-9156,"901 PRATT ST Baltimore, MD",1.25,Fine Dining
449827,AMERICAN LEGION FEDERAL POST #19,(481) 800-4229,"1502 MADISON AVE Baltimore, MD",0.6,Fast Casual
484026,AMERICAN LEGION POST #187,(298) 631-2139,"1527 CHERRY ST Baltimore, MD",1.35,Cafe or Bistro
910709,AMERICAN LEIGON FORT MCHENRY POST #133,(213) 978-6295,"506 FORT AVE Baltimore, MD",0.46,Family Style
489650,AMIGO'S BAR,(585) 530-8334,"400 EATON ST Baltimore, MD",1.87,Fast Food
790855,ANGELINA'S,(569) 945-1437,"7135 HARFORD RD Baltimore, MD",2.26,Family Style
593976,ANGELO'S RESTAURANT & CARRYOUT,(995) 878-0134,"3600 KESWICK RD Baltimore, MD",2.61,Fast Food
390214,ANGELS ROCK BAR,(861) 886-6326,"10 MARKET PLACE Baltimore, MD",3.01,Family Style
175084,ANGLE INN,(990) 945-1679,"5805 O Donnell ST Baltimore, MD",2.18,Fast Casual
178013,ANNABEL LEE TAVERN,(639) 832-1751,"601 CLINTON ST Baltimore, MD",0.21,Cafe or Bistro
225909,ANNS AT LEXINGTON PLACE,(556) 262-4773,"631 LEXINGTON ST Baltimore, MD",2.01,Family Style
497127,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,(433) 287-6177,"6798 REISTERSTOWN RD Baltimore, MD",2.2,Fast Casual
470380,aramark at citi bank baltimore,(417) 690-8144,"300 st paul pl Baltimore, MD",0.95,Fast Food
242491,ARAMARK FHC SPORTS (MAIN KITCHEN),(675) 837-1622,"1101 RUSSELL ST Baltimore, MD",2.71,Fast Food
830128,ARAMARK FHC SPORTS (BAR 200-201),(718) 786-5006,"1101 RUSSELL ST Baltimore, MD",2.7,Cafe or Bistro
764210,ARAMARK FHC SPORTS (BAR 210),(624) 919-1595,"1101 RUSSELL ST Baltimore, MD",3.21,Family Style
318199,ARAMARK FHC SPORTS (BAR 217),(565) 552-9904,"1101 RUSSELL ST Baltimore, MD",2.95,Cafe or Bistro
954749,ARAMARK FHC SPORTS (BAR 221),(463) 588-9601,"1101 RUSSELL ST Baltimore, MD",1.16,Fast Casual
140623,ARAMARK FHC SPORTS (BAR 232),(785) 881-6600,"1101 RUSSELL ST Baltimore, MD",2.15,Fast Food
367094,ARAMARK FHC SPORTS (BAR 236),(751) 561-3935,"1101 RUSSELL ST Baltimore, MD",3.03,Fast Food
640090,ARAMARK FHC SPORTS (BAR 244),(495) 631-9436,"1101 RUSSELL ST Baltimore, MD",0.16,Fine Dining
781514,ARAMARK FHC SPORTS (BAR 252-253),(215) 764-0504,"1101 RUSSELL ST Baltimore, MD",3.9,Fast Food
286749,ARAMARK/PNC,(322) 545-8769,"Hopkins Pl Baltimore, MD",0.69,Fast Casual
420025,ARA-MONUMENTAL LIFE INSURANCE COMPANY,(344) 835-6507,"2 CHASE ST Baltimore, MD",0.31,Family Style
433657,ARCH SOCIAL CLUB,(599) 554-3005,"2426 PENNSYLVANIA Baltimore, MD",0.87,Fast Food
801989,ARCOS,(921) 515-4230,"129 BROADWAY Baltimore, MD",1.88,Family Style
742833,ARIZONA BAR & GRILL,(363) 455-1106,"25 BROADWAY Baltimore, MD",3.65,Family Style
703269,ASAHI SUSHI,(375) 927-6952,"629 BROADWAY Baltimore, MD",0.64,Cafe or Bistro
620653,asian taste,(471) 836-4157,"916 36th st Baltimore, MD",2.55,Fast Food
838567,ATWATER'S,(245) 413-0086,"529 BELVEDERE AVE Baltimore, MD",0.42,Family Style
241167,AU BON PAIN,(478) 691-5510,"1 SOUTH ST Baltimore, MD",3,Fast Food
590509,AUSTIN GRILL,(757) 963-8900,"2400 BOSTON ST Baltimore, MD",2.12,Fast Casual
978476,AUSTIN GRILL,(333) 308-4136,"2400 BOSTON ST Baltimore, MD",3.09,Family Style
841460,AVENUE BAR & LIQUOR,(916) 916-1441,"1238 GREENMOUNT AVE Baltimore, MD",0.86,Fine Dining
246088,azteca de oro,(478) 910-3526,"4901 eastern ave Baltimore, MD",3.92,Cafe or Bistro
885743,B,(588) 820-7379,"1501 bolton ST Baltimore, MD",2.35,Fast Food
767709,B & J RESTAURANT,(916) 242-9158,"2251 WILKENS AVE Baltimore, MD",2.55,Fine Dining
822832,B & O CAFE,(910) 891-7396,"1301 PRATT ST Baltimore, MD",2.1,Fast Food
667650,B G'S,(428) 958-4119,"301 PAYSON ST Baltimore, MD",1.86,Cafe or Bistro
782355,"B.G.'S,PUB INCORPORATED",(975) 820-1658,"619 OLDHAM ST Baltimore, MD",3.24,Cafe or Bistro
365731,babalu grill,(651) 221-4264,"34 MARKET PL Baltimore, MD",0.83,Fast Casual
280683,BACKSTRETCH SALOON,(214) 302-4004,"1301 OLD COLDSPRING Ln Baltimore, MD",2.21,Fast Food
554595,BAJA BEACH CLUB (COMBINED WITH BAR-L),(899) 995-1830,"55 MARKET PL Baltimore, MD",1.61,Fast Food
496708,BALTIMORE BEVERAGE CO. LLC,(652) 678-4612,"20 BALTIMORE ST Baltimore, MD",2.39,Fast Casual
200199,BALTIMORE BEVERAGE CO. -STARBUCKS,(911) 960-1066,"20 BALTIMORE ST Baltimore, MD",3.11,Fast Food
817897,BALTIMORE COUNTRY CLUB,(949) 592-0724,"4712 CLUB RD Baltimore, MD",0.82,Fine Dining
426859,BALTIMORE DELIGHT RESTAURANT,(518) 589-6236,"4713 EASTERN AVENUE Baltimore, MD",0.73,Fine Dining
266170,"BALTIMORE EAGLE, INC.",(816) 700-0383,"2022 CHARLES ST Baltimore, MD",0.85,Fast Casual
306715,BALTIMORE ESTONIAN SOCIETY,(376) 692-7790,"1932 BELAIR RD Baltimore, MD",0.22,Fast Casual
262541,BALTIMORE MARRIOTT WATERFRONT/EMPLOYEE CAFETERIA,(976) 382-1382,"700 ALICEANNA ST Baltimore, MD",1.05,Family Style
164628,BALTIMORE MARRIOTT WATERFRONT/GRILLE 700 RESTAURAN,(283) 913-5380,"700 ALICEANNA ST Baltimore, MD",1.26,Fast Food
988493,BALTIMORE MARRIOTT WATERFRONT/KOZMOS BAR,(285) 471-1984,"700 ALICEANNA ST Baltimore, MD",3.53,Family Style
961868,BALTIMORE MARRIOTT WATERFRONT/RIGANOS DELI,(623) 539-8583,"700 ALICEANNA ST Baltimore, MD",3.52,Fast Food
851290,BALTIMORE MARRIOTT-INNER HARBOR/EMP. CAFETERIA,(886) 273-0506,"110 EUTAW ST Baltimore, MD",3.76,Fine Dining
773681,BALTIMORE MARRIOTT-INNER HARBOR/REST/BAR,(207) 205-4486,"110 EUTAW ST Baltimore, MD",1.25,Fast Food
155062,BALTIMORE PHO,(908) 731-8096,"1114 16 HOLLINS ST Baltimore, MD",3.4,Fine Dining
698769,BALTMORE KICKERS,(234) 685-4103,"26 BROADWAY Baltimore, MD",0.58,Fast Casual
501954,BANJARA,(297) 280-6065,"1015 CHARLES ST Baltimore, MD",3.54,Fast Food
369191,BANTHAI,(536) 764-4103,"340 CHARLES ST Baltimore, MD",3.03,Fine Dining
438073,BARISTA ESPRESSO CAF,(645) 878-4941,"500 HARBORVIEW DR Baltimore, MD",0.13,Fast Casual
263059,BARNES & NOBLE BOOKSELLERS,(420) 420-6714,"601 PRATT ST Baltimore, MD",0.53,Fine Dining
825195,BARTENDERS,(624) 567-6712,"2218 BOSTON ST Baltimore, MD",1.13,Fast Food
874049,BLU BAMBU-FRESH AISIAN EATS,(506) 542-7654,"621 PRATT ST Baltimore, MD",1.46,Fast Food
183923,BLUE AGAVE RESTAURANT AND TEQUILERIA,(723) 592-3296,"1032 LIGHT ST Baltimore, MD",0.27,Fast Casual
953599,BLUE CRAB EXPRESS & CAF INC.,(890) 436-1417,"1020 PATAPSCO AVE Baltimore, MD",1.62,Cafe or Bistro
905585,blue island malaysian cuisine,(593) 964-0037,"400 lexington st Baltimore, MD",1.32,Fast Food
605112,BLUE JEAN CAFE,(913) 914-1620,"6422 HOLABIRD AVE Baltimore, MD",1.74,Fine Dining
315283,BLUE MOON DINING HOUSE & EXPRESSO BAR,(280) 924-5738,"1621 ALICEANNA ST Baltimore, MD",0.74,Fast Food
106761,BLUE PARROT,(466) 215-8298,"5860 BELAIR RD Baltimore, MD",1.52,Fast Food
305563,BLUE POINT CRAB HOUSE (seasonal),(342) 762-0612,"237 MONTFORD AVE Baltimore, MD",0.8,Fine Dining
875157,BLUE SEA GRILL,(446) 940-5893,"614 WATER ST Baltimore, MD",2.57,Fast Food
733144,BLUE SKY RESTAURANT,(204) 952-7356,"237 PARK AVE Baltimore, MD",1.05,Fine Dining
499048,BLUEHOUSE,(248) 284-0782,"1407 FLEET ST Baltimore, MD",2.49,Fast Casual
644299,BO BROOKS,(663) 965-2751,"2701 BOSTON ST Baltimore, MD",3.29,Fast Food
296218,BOB CUMMINGS PLACE,(435) 232-1864,"148 EAST AVE Baltimore, MD",1.87,Fast Casual
576743,BOB DELI,(578) 327-5510,"333 CASSELL DR Baltimore, MD",3.03,Fast Casual
129450,BOB'S BAR,(204) 339-4767,"1173 WASHINGTON BLVD Baltimore, MD",0.55,Fast Food
875792,BOB'S OLDIE'S CAF,(546) 329-2826,"4017 19 EASTERN AVE Baltimore, MD",3.12,Cafe or Bistro
295290,BOCCACCIO,(768) 352-6418,"925 EASTERN AVE Baltimore, MD",1.11,Fast Food
720606,BOP BRICK OVEN PIZZA,(372) 446-3663,"800 BROADWAY Baltimore, MD",0.1,Fast Food
196463,BOUILLABAISSE CAF,(630) 977-6376,"316 PARK AVE Baltimore, MD",0.5,Fast Food
460355,BOULDER GARDEN CAFE,(392) 622-2503,"4501 CHARLES ST Baltimore, MD",1.76,Cafe or Bistro
418299,BRASS MONKEY SALOON,(548) 947-3629,"1601 EASTERN AVE Baltimore, MD",0.14,Fast Casual
271077,BRASSERIE TATIN,(336) 314-4065,"105 39TH ST Baltimore, MD",2.26,Fast Food
712500,BREEZE INC.,(588) 647-9981,"850 36TH ST Baltimore, MD",1.69,Fast Food
701724,"BRENDAL, INC.",(738) 690-3821,"201 FORT AVE Baltimore, MD",2.1,Fast Casual
223965,BREWER'S HILL PUB & GRILL,(421) 582-3214,"3734 FLEET ST Baltimore, MD",2.25,Fast Food
386497,BREWSTER'S TAVERN,(397) 420-9188,"2201 GOUGH ST Baltimore, MD",1.52,Cafe or Bistro
501823,BROADWAY DINER,(329) 685-4151,"6501 EASTERN AVE Baltimore, MD",2.56,Family Style
709591,BROOKEY'S,(239) 760-1269,"4201 BELAIR RD Baltimore, MD",2.24,Fine Dining
868495,BROOKLYN BOOSTER CLUB,(769) 299-7545,"646 PATAPSCO AVE Baltimore, MD",3.33,Fine Dining
836194,"BROOKLYN INN, LLC",(819) 691-1735,"705 PATAPSCO Baltimore, MD",3.35,Cafe or Bistro
201781,BROOKLYN PLEASURE CLUB,(931) 670-5682,"430 PATAPSCO AVE Baltimore, MD",3.2,Fast Food
383626,"BROTHERS PLACE, INC.",(595) 870-1707,"1846 PRATT ST Baltimore, MD",1,Cafe or Bistro
399207,"BRUCE MCKELDIN CONSULTING, LLC",(645) 936-1438,"702 BROADWAY Baltimore, MD",1.76,Fine Dining
706450,BUD PAOLINO'S RESTAURANT,(322) 683-2504,"3919 LOMBARD ST Baltimore, MD",3.37,Fast Food
316146,BUFFALO WINGGS AND BEER,(839) 972-2949,"7653 HARFORD RD Baltimore, MD",3.05,Fast Food
725764,BULL ROBINSON LIQUORS (AKA 2736 GREENMOUNT AV,(859) 730-9571,"454 WHITERIDGE AVE Baltimore, MD",2.38,Fast Casual
739222,BULLSEYE BAR & GRILLE,(498) 915-4265,"7653 HARFORD RD Baltimore, MD",2.53,Fast Food
616099,BURGER KING,(397) 208-7522,"1735 WASHINGTON BLVD Baltimore, MD",2.8,Family Style
387891,BURGER KING,(913) 269-2419,"2033 EASTERN AVE Baltimore, MD",0.86,Fast Food
644869,BURGER KING,(578) 473-1509,"4100 PULASKI HWY Baltimore, MD",1.65,Family Style
427683,BURGER KING,(936) 794-6838,"8 FAYETTE ST Baltimore, MD",1.62,Cafe or Bistro
785995,BURGER KING # 10293,(359) 525-9101,"1201 NORTH AVE Baltimore, MD",3.68,Fast Food
758153,BURGER KING # 13360,(971) 510-0116,"555 29TH ST Baltimore, MD",3.77,Cafe or Bistro
886100,BURGER KING #10294,(288) 421-2994,"1241 ORLEANS ST Baltimore, MD",2.19,Cafe or Bistro
314529,BURGER KING #10295,(314) 657-4918,"4400 REISTERSTOWN RD Baltimore, MD",2,Family Style
261744,BURGER KING #1950,(241) 935-1234,"1437 PATAPSCO AVE Baltimore, MD",2.02,Fine Dining
552919,BURGER KING #2610,(597) 610-3963,"2401 LIBERTY HEIGHTS AVE Baltimore, MD",2.4,Fine Dining
244673,"BURKE'S CAFE, INCORPORATED",(609) 295-0878,"36 LIGHT ST Baltimore, MD",1.97,Fast Casual
711319,BURKE'S CAF/ COMEDY FACTORY,(978) 961-8447,"36 LIGHT ST Baltimore, MD",3.54,Fast Casual
648071,BUSTER'S PUB,(240) 315-1974,"3208 LOMBARD ST Baltimore, MD",3.13,Cafe or Bistro
862166,"BUTTS & BETTY'S TAVERN, INC.",(532) 491-7385,"2200 GOUGH ST Baltimore, MD",2.07,Fast Food
872609,B-WATCH,(949) 511-0107,"2000 EASTERN AVE Baltimore, MD",0.87,Cafe or Bistro
318622,BYZANTIO CAF,(986) 475-2814,"4618 EASTERN AVE Baltimore, MD",2.21,Family Style
272437,CAF AZAFRAN,(922) 240-5898,"3700 SAN MARTIN DR Baltimore, MD",1.35,Fast Casual
501841,CAF EXPRESS,(201) 495-5205,"36 CHARLES ST Baltimore, MD",1.7,Fast Food
815872,CAF GIA,(865) 645-0594,"410 HIGH ST Baltimore, MD",2.27,Fast Casual
278338,CAF GOURMET,(871) 275-4606,"1 CHARLES ST Baltimore, MD",2.4,Cafe or Bistro
888448,CAFE' INTERNATIONALE,(248) 569-1075,"401 PRATT ST Baltimore, MD",3.55,Fine Dining
684978,CAF LATTE 'DA,(200) 860-8270,"1704 ALICEANNA ST Baltimore, MD",2.02,Fine Dining
117194,CAFE MANET,(299) 995-6369,"1020 CHARLES ST Baltimore, MD",0.84,Fine Dining
597237,"CAF ON THE SQUARE, LLC",(423) 954-2790,"11 PACA ST Baltimore, MD",2.19,Fast Food
992027,CAF SUSSIE'S,(344) 389-9144,"203 NORTH AVE Baltimore, MD",1.56,Cafe or Bistro
540434,CAFE ZEN,(724) 618-6599,"438 BELVEDERE AVE Baltimore, MD",2.84,Fine Dining
862769,CALIFORNIA PIZZA KITCHEN,(487) 747-0715,"201 PRATT ST Baltimore, MD",0.42,Fast Food
568984,CAMDEN PUB,(405) 469-2561,"647 PRATT ST Baltimore, MD",3.14,Family Style
569756,CAMERON'S SEAFOOD,(894) 802-6907,"2707 COLD SPRING LN Baltimore, MD",1.05,Fine Dining
692211,CANTINA LAS AMERICAS/LA RUMBA,(279) 986-3069,"1650 54 E PRATT ST Baltimore, MD",2.31,Fast Food
864297,CANTON COVE,(940) 599-1600,"901 CLINTON ST Baltimore, MD",2.86,Fast Food
993172,CANTON STATION,(664) 815-2893,"1028 CONKLING ST Baltimore, MD",3.53,Family Style
800790,CANTON'S PEARLS,(480) 271-0830,"3301 BOSTON ST Baltimore, MD",2.85,Fast Food
147992,CANTON'S PORTSIDE TAVERN,(888) 696-4308,"2821 O DONNELL ST Baltimore, MD",0.8,Family Style
304359,CAPTAIN LARRY'S,(644) 435-0074,"601 FORT AVE Baltimore, MD",2.78,Fast Casual
980334,caribbean paradise,(200) 623-3062,"1818 charles ST Baltimore, MD",2.2,Cafe or Bistro
140437,CARIBOU COFFEE,(476) 330-2920,"1 CHARLES ST Baltimore, MD",0.58,Family Style
976068,CARL REFEERS BAR & GRILL,(781) 514-6429,"707 BROADWAY Baltimore, MD",2.71,Fast Food
